Season,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,San Antonio Spurs*,38.4,80.5,0.477,6.3,16.1,0.392,32.1,64.4,0.498,20.3,27.6,0.736,11.4,31.5,43,24.9,7.9,6.5,14.6,22.2,103.4
1996,Los Angeles Lakers*,39.2,81.8,0.48,5.8,16.6,0.351,33.4,65.2,0.512,18.6,25,0.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
1996,Utah Jazz*,38.2,78.3,0.488,4.6,12.4,0.372,33.6,65.9,0.509,21.6,28.1,0.768,12.1,28.9,41,26.1,8.1,5.1,14.8,25,102.5
1996,Houston Rockets*,37.5,81,0.464,7.8,21.5,0.362,29.8,59.5,0.501,19.6,25.7,0.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
1996,Sacramento Kings*,36.2,79.2,0.457,5.6,14.6,0.387,30.6,64.6,0.473,21.5,29.4,0.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26,99.5
1996,Indiana Pacers*,36.3,75.7,0.48,4.4,11.9,0.373,31.9,63.8,0.5,22.2,29.5,0.755,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8,99.3
1996,Portland Trail Blazers*,37.4,81.6,0.458,5.9,16.6,0.353,31.5,65,0.485,18.7,28.3,0.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3
1996,Atlanta Hawks*,36.4,81.3,0.448,6.9,19.5,0.355,29.5,61.8,0.477,18.6,24.5,0.757,14.4,26.2,40.6,19.6,9.4,3.9,15,20.9,98.3
1996,New York Knicks*,36.6,77.8,0.471,5.9,15.7,0.377,30.7,62.2,0.494,18,23.8,0.757,10.1,29.9,40,22.2,7.9,4.6,15.5,22.7,97.2
1996,Miami Heat*,35.4,77.4,0.457,6.7,17.8,0.379,28.7,59.6,0.481,18.9,26.7,0.71,12.2,30.4,42.6,21.4,7,5.4,17,26.3,96.5
